;integraarquiteturaeengenharia@gmail.com;(51) 999666158;;Sobradinho;Rua José Bonifácio;87;96900000 ;;;
;gustavo@olimoveis.com.br;(54) 3292.3300 (54) 9.99703606;;Flores da Cunha ;Rua Garibaldi;1020;;;;
;barbara@grupocolmeia.com.br;(51) 3473-0033;;ESTEIO;;;;;;
;eduardo.teixeira@andoraengenharia.com.br;(51) 3072-1518;;Porto Alegre;R. Carlos Huber;940;;91330-150;RS,;
;compras@michelon.com;(53) 3225.6900;;Pelotas;Rua Santa Cruz;2257;;96015-710;;
;compras@vejaengenharia.com.br;53 3227-0017;;Pelotas ;Rua Félix da Cunha;715;;96010-000;;
;marcos.moraes@zaffari.com.br;51- 3363-4787;;PORTO ALEGRE;;;;;;
;eng.valci@wwengenharia.eng.br;(51)3041-2441 (51)98566-2203;;Rua Esperança 209 - Vila Parque Brasília, Cachoeirinha - RS,;Rua Esperança;209;;94935-160;RS,;
; compras03@univates.br ; (51) 3714 -7030 ;;Av.Avelino Talini, 171 - Bairro Universitário, Lajeado/RS - Brasil | ;Av. Avelino Talini;171;;95914-014;/RS;
;felipe@ditreviengenharia.com.br;  51 3121.2152 | 51 3121.2135 ;;Santa Cruz do Sul;Rua Ramiro Barcelos;543;;;;
;;;;;;;;;;
;compras@plastibordo.com.br;(51) 3560-3000;;R. Piracicaba 96 - Emancipacao, Araricá - RS,;R. Piracicaba;96;;93880-000;RS,;
;manutencao@metalsinos.com.br;(51) 3560-3300;;Rod. Rs- 239 3130 - Campo da Brazina, Araricá - RS,;;;;93880-000;RS,;
;junior@tubularte.com.br;(51) 3565 1544 - (51) 999630354;;Rodovia RS239 – Km 338, nº 1850, Araricá - RS,;;;;93880-000;RS,;
;glassral@glassral.com.br;(51) 3599-2369;;Avenida José Antônio de Oliveira Neto R. Azaléia, 1415, Araricá - RS,;R. Azaléia;1415;;93880-000;RS,;
;compras@wsmetais.com.br;(51) 3560-1409;;Araricá;;;;93880-000;;
;;51 35601528;;RodoviaRS 239 51 - Km 37, RS;;;;;RS;
;quasa@metalizacaoquasa.com.br;(51) 3560 1821 ;;Ruado Sírio, 180, Setor 107 / Bairro Campo da Brazina / Araricá/RS / CEP: 93.880-000;Rua do Sírio;180;;;/RS;
;matheus@unicasamoveis.com.br;(54) 3455 4444;;Bento Gonçalves;;;;95707-540;;
