;cidade;descricao;contato;telefone;endereco;email;site
;Sobradinho;Integra Arquitetura e Engenharia;Arq. Priscila Bernardi - 51 999666158 / Eng. Edgar Fernando Schutz - 51 980333522;(51) 999666158;Rua José Bonifácio, 87 96900000 Sobradinho, RS;integraarquiteturaeengenharia@gmail.com;
;Flores da Cunha ;Olimóveis Urbanismo;Eng. Gustavo;(54) 3292.3300 (54) 9.99703606;Rua Garibaldi, 1020, sala 2 / Bairro Centro / CEP 95.270-000;gustavo@olimoveis.com.br;
;ESTEIO;COLMEIA CONTAINERS LTDA - EPP;BÁRBARA REGINA DOS SANTOS MOTA;(51) 3473-0033;AV LINDOLFO COLLOR - 100;barbara@grupocolmeia.com.br;
;Porto Alegre;Andora Construções;Eduardo Teixeira;(51) 3072-1518;R. Carlos Huber, 940 - Três Figueiras, Porto Alegre - RS, 91330-150;eduardo.teixeira@andoraengenharia.com.br;
;Pelotas;MICHELON Construtora e Incorporadora;Henrique;(53) 3225.6900;Rua Santa Cruz 2257 CEP 96015-710;compras@michelon.com;
;Pelotas ;Veja Engenharia;Bernardo;53 3227-0017;Rua Félix da Cunha, 715 CEP 96010-000 Pelotas - RS;compras@vejaengenharia.com.br;
;PORTO ALEGRE;CONDOMÍNIO BSCT;Marcos Heitor;51- 3363-4787;AV TULIO DE ROSE, 100;marcos.moraes@zaffari.com.br;
;Cachoeirinha;WWEngenharia;Eng. Valci Costa de Oliveira;(51)3041-2441 (51)98566-2203;Rua Esperança, 209 - Vila Parque Brasília, Cachoeirinha - RS, 94935-160;eng.valci@wwengenharia.eng.br;
;Lajeado;Univates; Maicon Dezordi ; (51) 3714 -7030 ;Av. Avelino Talini, 171 - Bairro Universitário, Lajeado/RS - Brasil | CEP 95914-014; compras03@univates.br ;
;Santa Cruz do Sul;Ditrevi Engenharia; Felipe / Compras Renan  ;  51 3121.2152 | 51 3121.2135 ;Rua Ramiro Barcelos 543 | Santa Cruz do Sul – RS;" felipe@ditreviengenharia.com.br; renan@ditreviengenharia.com.br ";
;;;;;;;
Industrias diversas;Araricá;Plastibordo;Josue;(51) 3560-3000;R. Piracicaba, 96 - Emancipacao, Araricá - RS, 93880-000;compras@plastibordo.com.br;
;Araricá;Metalsinos;Manutenção - Roberto / Compras - Fabiano;(51) 3560-3300;Rod. Rs- 239, 3130 - Campo da Brazina, Araricá - RS, 93880-000;"manutencao@metalsinos.com.br; compras@metalsinos.com.br";
;Araricá;Tubularte Móveis;Junior;(51) 3565 1544 - (51) 999630354;Rodovia RS239 – Km 33,8, nº 1850, Araricá - RS, 93880-000;junior@tubularte.com.br;
;Araricá;Glassral;Franciele;(51) 3599-2369;Avenida José Antônio de Oliveira Neto, R. Azaléia, 1415, Araricá - RS, 93880-000;glassral@glassral.com.br;
;Araricá;WS Metais para móveis;Leandro;(51) 3560-1409;Rua: José Apolônio da Costa, 2025 / Bairro: Estação América - Cidade: Araricá - CEP: 93880-000;compras@wsmetais.com.br;
;Araricá;Cipatex;Emanuel - Manutenção;51 35601528;Rodovia RS 239 51 - Km 37, RS;;
;Araricá;Quasa Metalização;Deise;(51) 3560 1821 ;Rua do Sírio, 180, Setor 107 / Bairro Campo da Brazina / Araricá/RS / CEP: 93.880-000;quasa@metalizacaoquasa.com.br;
;Bento Gonçalves;Grupo Unicasa Móveis (Dell Anno, Favorita, New, Casa Brasileira);Matheus ;(54) 3455 4444;BR 470, Km 212,930, s/n | Cx. Postal 2505 | CEP 95707-540 | Bento Gonçalves - RS;matheus@unicasamoveis.com.br;
;Bento Gonçalves;Italínea;Diego;(54) 3455.5100;;compras@italinea.com.br;
;Bom Princípio;Madesa Móveis;Maico;51 - 35348000;Rodovia RS 122 KM 30 Bom Princípio - RS - CEP 95765-000;maico@madesa.com;
;Camaquã;Industria de Móveis THB LTDA;Alessandro / Silvio;51 3671-7800;Rua Augusto Blanchardt da Silveira, 300 - Distrito Industrial Camaquã - RS - Brasil | CEP 96180-000;"compras2@moveisthb.com.br; compras@moveisthb.com.br";
;Camaquã;Bartz ; Suellen - contato@bartzmoveis.com.br ;(51) 3692-1347;Rua Aylton Ulguim Campos, 1837 Distrito Industrial, Camaquã-RS;;
;Campo Bom;Calbrás;Daniel;51 35811644;"Avenida dos Municípios, 1305 - Zona Industrial Norte
Campo Bom - RS - CEP: 93700-000";compras@calbras.net.br;
;Campo Bom;Multifôrmas;Alexandra;51 3598 2122 / 3597 4166;R. João Lampert, 320 - Bairro Ipiranga, Campo Bom - RS, 93700-000;ale@multiformas.ind.br;
;Campo Bom;FCC;Carla Siebel;51 2129-2200;"Rua Paineira, 20, Bairro Operário 
Campo Bom - RS";carla.siebel@fcc.com.br;
;Campo Bom;Rigabona;Claudio;(51) 3585.1500;Rua São Paulo, 101 Centro - Campo Bom/RS;compras@rigabona.com.br;
;Candiota ;CGTEE Candiota ;Glenio;(53) 3245.5100 ;gleniom@cgtee.gov.br;;
